league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
SERIEA,0.06,0.05,35%,318,-0.05052278936198484,915.4628883361821,0.2110786076166438,0.44339622641509435
SERIEA,0.06,0.05,40%,320,-0.06106274105071634,898.1739249884625,0.2110786076166438,0.440625
SERIEA,0.06,0.1,sin techo,320,-0.05943720349368425,797.6828787524039,0.3817732445739733,0.440625
SERIEA,0.06,0.1,20%,294,-0.0695626586198505,805.0164583719921,0.3438983008863415,0.4421768707482993
SERIEA,0.06,0.1,25%,310,-0.04792475760947134,844.3803929982563,0.341338900438762,0.44516129032258067
SERIEA,0.06,0.1,30%,316,-0.052500934896994145,820.7774517696776,0.3817732445739734,0.4430379746835443
SERIEA,0.06,0.1,35%,318,-0.049367653479052254,828.840132802742,0.381773244573974,0.44339622641509435
SERIEA,0.06,0.1,40%,320,-0.05943720349368425,797.6828787524039,0.3817732445739733,0.440625
SERIEA,0.06,0.15,sin techo,320,-0.057607942324553754,700.5022047249747,0.5187949181115422,0.440625
SERIEA,0.06,0.15,20%,294,-0.06823304699954598,713.2120971084072,0.47438544981922537,0.4421768707482993
SERIEA,0.06,0.15,25%,310,-0.04713188275241372,764.4495251038525,0.47104839524109315,0.44516129032258067
SERIEA,0.06,0.15,30%,316,-0.05072602990080701,731.7770889801083,0.5187949181115424,0.4430379746835443
SERIEA,0.06,0.15,35%,318,-0.04797709754259211,742.1499618833018,0.5187949181115422,0.44339622641509435
SERIEA,0.06,0.15,40%,320,-0.057607942324553754,700.5022047249747,0.5187949181115422,0.440625
SERIEA,0.06,0.2,sin techo,320,-0.05558311921491211,608.6296133167846,0.629276809677324,0.440625
SERIEA,0.06,0.2,20%,294,-0.06686586048457643,626.0882298780095,0.5823360483792159,0.4421768707482993
SERIEA,0.06,0.2,25%,310,-0.0461033529583827,685.6590141592744,0.5779506971927142,0.44516129032258067
SERIEA,0.06,0.2,30%,316,-0.04874072720671601,645.8725054853597,0.6277584630473406,0.4430379746835443
SERIEA,0.06,0.2,35%,318,-0.046357898040189534,657.5972266971784,0.62775846304734,0.44339622641509435
SERIEA,0.06,0.2,40%,320,-0.05558311921491211,608.6296133167846,0.629276809677324,0.440625
SERIEA,0.06,0.25,sin techo,320,-0.0524970592478378,540.6127216459149,0.7033883220770979,0.440625
SERIEA,0.06,0.25,20%,294,-0.06313145779657471,560.5711324849484,0.6611391096253915,0.4421768707482993
