Date,bet_side,bet_odds,red_flag,won,market
2025-12-14,away,2.78,False,False,LALIGA
2026-01-03,away,2.24,False,True,LALIGA
2026-01-10,home,2.42,False,True,LALIGA
2026-01-10,home,2.26,False,False,LALIGA
2021-08-21,away,1.65,False,True,SERIEA
2021-09-11,home,2.51,False,True,SERIEA
2021-09-12,home,2.22,False,True,SERIEA
2021-09-19,home,2.47,False,False,SERIEA
2021-09-20,away,1.86,False,True,SERIEA
2021-09-21,away,2.03,False,True,SERIEA
2021-09-26,home,2.75,False,True,SERIEA
2021-10-03,away,2.03,True,True,SERIEA
2021-10-16,away,2.19,True,False,SERIEA
2021-10-23,away,2.24,True,True,SERIEA
2021-10-24,away,2.5,False,False,SERIEA
2021-11-20,away,2.42,False,True,SERIEA
2021-11-20,away,2.32,False,False,SERIEA
2021-11-27,home,2.97,False,True,SERIEA
2021-12-04,away,1.99,False,True,SERIEA
2021-12-06,home,2.67,False,True,SERIEA
2021-12-12,home,2.72,False,True,SERIEA
2021-12-18,away,1.93,False,True,SERIEA
2022-01-17,away,2.0,False,True,SERIEA
2022-02-07,home,2.96,False,False,SERIEA
2022-02-26,home,2.77,False,True,SERIEA
2022-02-27,away,2.55,False,True,SERIEA
2022-03-05,away,2.78,False,False,SERIEA
2022-03-06,home,2.91,False,False,SERIEA
2022-03-12,home,2.9,False,True,SERIEA
2022-03-13,away,2.14,False,True,SERIEA
2022-03-19,home,1.53,False,False,SERIEA
2022-03-20,home,2.68,False,True,SERIEA
2022-03-20,away,1.88,False,True,SERIEA
2022-04-10,home,1.78,False,False,SERIEA
2022-04-10,away,1.95,False,False,SERIEA
2022-04-24,away,2.52,False,True,SERIEA
2022-04-27,home,1.61,False,False,SERIEA
2022-05-01,home,2.9,False,False,SERIEA
2022-05-06,away,2.12,False,False,SERIEA
2022-05-07,away,2.07,True,True,SERIEA
2022-05-07,home,2.38,False,False,SERIEA
2022-05-14,home,2.32,False,False,SERIEA
2022-05-15,away,2.73,False,True,SERIEA
2022-05-15,home,1.85,False,True,SERIEA
2022-05-21,home,2.34,False,False,SERIEA
2022-08-13,away,2.9,False,True,SERIEA
2022-08-15,away,2.1,False,True,SERIEA
2022-08-20,home,1.77,False,False,SERIEA
2022-08-26,away,2.34,False,True,SERIEA
2022-08-27,away,2.31,False,True,SERIEA
2022-08-27,away,2.3,False,False,SERIEA
2022-08-28,away,2.16,False,False,SERIEA
2022-08-31,away,2.71,False,False,SERIEA
2022-08-31,home,2.74,False,True,SERIEA
2022-09-04,away,2.35,False,False,SERIEA
