market,predicted_prob,odds,actual
EPL,0.5268280692025867,2.13,1
EPL,0.6107198686406132,1.66,0
EPL,0.2274922200443139,3.94,1
EPL,0.161787911315073,5.91,0
EPL,0.4562524100495161,1.92,1
EPL,0.2700893091653676,3.77,0
EPL,0.2736582807851161,4.22,0
EPL,0.7801822408146056,1.19,1
EPL,0.1420700286466904,7.28,0
EPL,0.0777477305387039,19.32,0
EPL,0.4058644067297988,1.99,0
EPL,0.2620105550056976,3.7,1
EPL,0.3321250382645037,3.98,0
EPL,0.5689697778382332,1.68,0
EPL,0.2358461182240023,3.88,0
EPL,0.1951841039377644,5.79,1
EPL,0.4504272073092011,2.67,0
EPL,0.2655352427820488,3.46,1
EPL,0.2840375499087501,2.79,0
EPL,0.4355949130620209,2.02,0
EPL,0.2746183632973652,3.63,1
EPL,0.2897867236406138,3.98,0
EPL,0.1238888929015202,7.66,0
EPL,0.2046348199776726,4.79,0
EPL,0.6714762871208071,1.46,1
EPL,0.2351668692931885,2.66,0
EPL,0.2051906948410914,3.47,0
EPL,0.55964243586572,2.79,1
EPL,0.3947339839696878,2.32,1
EPL,0.2529241974277512,3.54,0
EPL,0.352341818602561,3.23,0
EPL,0.348972485769051,3.15,0
EPL,0.2536521540179529,3.73,0
EPL,0.3973753602129961,2.29,1
EPL,0.3669823963721291,2.52,0
EPL,0.263975273685649,3.49,0
EPL,0.3690423299422217,2.95,1
EPL,0.4005688439661317,2.73,1
EPL,0.2696720581541696,3.31,0
EPL,0.3297590978796986,2.84,0
EPL,0.6531851184496571,1.25,0
EPL,0.2097442434150542,6.92,1
EPL,0.1370706381352887,11.52,0
EPL,0.8294587742089707,1.15,0
EPL,0.1144577304754391,8.94,0
EPL,0.0560834953155902,22.14,1
EPL,0.1476112835108055,9.28,0
EPL,0.222242758678838,4.96,0
EPL,0.6301459578103564,1.4,1
EPL,0.2985423273299626,3.22,0
EPL,0.2373442553955814,3.4,0
EPL,0.4641134172744559,2.39,1
EPL,0.3263861086477647,3.04,0
EPL,0.2472273882001546,3.66,0
EPL,0.4263865031520806,2.38,1
EPL,0.2016132978438553,3.58,0
EPL,0.204255302498138,3.7,0
EPL,0.5941313996580067,2.11,1
EPL,0.334950854531258,2.86,0
EPL,0.267043148063973,3.58,0
EPL,0.3980059974047689,2.54,1
EPL,0.3510748407428309,2.27,1
EPL,0.3036533927663662,3.4,0
EPL,0.3452717664908028,3.47,0
EPL,0.3465211746160399,2.04,1
EPL,0.2523255567694241,3.71,0
EPL,0.401153268614536,3.79,0
EPL,0.2265591341169366,4.84,0
EPL,0.228924773172296,4.16,0
EPL,0.5445160927107674,1.74,1
EPL,0.5110577601320618,1.63,0
EPL,0.2122887291390363,4.05,0
EPL,0.2766535107289018,6.06,1
EPL,0.6854271048367288,1.27,0
EPL,0.2064844354052558,6.08,1
EPL,0.1080884597580153,13.48,0
EPL,0.3794299922687139,2.56,1
EPL,0.2966205229881242,3.17,0
EPL,0.3239494847431619,3.17,0
EPL,0.5055832615592154,1.63,0
EPL,0.2560485365911478,4.11,1
EPL,0.2383682018496368,6.04,0
EPL,0.7071949157949629,1.41,1
EPL,0.1733042549260926,4.98,0
EPL,0.1195008292789446,8.73,0
EPL,0.2654934814852774,3.15,0
EPL,0.2695472753706214,3.34,1
EPL,0.4649592431441011,2.46,0
EPL,0.3573301272710273,2.84,0
EPL,0.2518612282083694,3.61,1
EPL,0.3908086445206032,2.54,0
EPL,0.2677454620514097,4.74,1
EPL,0.2316926717407219,4.15,0
EPL,0.5005618662078684,1.75,0
EPL,0.2521965333030351,4.92,0
EPL,0.2547851882537568,3.76,0
EPL,0.4930182784432081,1.8,1
EPL,0.4063758708695161,2.48,1
EPL,0.2923676143057675,3.33,0
EPL,0.3012565148247163,3.14,0
EPL,0.3485103197589094,2.79,0
EPL,0.2905666167606253,3.29,1
EPL,0.3609230634804652,2.79,0
EPL,0.46414562444478,2.67,0
EPL,0.2406195814130579,3.42,1
EPL,0.2952347941421621,2.81,0
EPL,0.2815141941528692,3.71,1
EPL,0.2385355620864581,3.54,0
EPL,0.4799502437606727,2.12,0
EPL,0.1156458403633407,6.25,1
EPL,0.1572617427308962,4.69,0
EPL,0.7270924169057631,1.53,0
EPL,0.2532054785322828,3.18,1
EPL,0.2697833677010208,3.28,0
EPL,0.4770111537666963,2.49,0
EPL,0.5207641901563463,1.47,1
EPL,0.2374805701468538,5.0,0
EPL,0.2417552396967998,6.84,0
EPL,0.7442105217103195,1.19,1
EPL,0.1623414995807538,7.71,0
EPL,0.0934479787089266,17.04,0
EPL,0.5358452255369861,1.77,1
EPL,0.2286622028553928,4.15,0
EPL,0.235492571607621,4.61,0
EPL,0.6027993950749438,1.48,1
EPL,0.2242327484813839,4.95,0
EPL,0.1729678564436721,6.77,0
EPL,0.3185655632682629,2.3,0
EPL,0.268105221715684,3.4,0
EPL,0.413329215016053,3.42,1
EPL,0.7291345362384929,1.3,1
EPL,0.1603210618190616,6.08,0
EPL,0.1105444019424455,10.1,0
EPL,0.2777653134149123,3.61,0
EPL,0.2633469789103376,3.44,1
EPL,0.45888770767475,2.2,0
EPL,0.3615417095581671,2.14,0
EPL,0.2792294190918971,3.44,1
EPL,0.3592288713499357,3.78,0
EPL,0.3222225385902449,2.29,1
EPL,0.2521354786807646,3.33,0
EPL,0.4256419827289904,3.51,0
EPL,0.667083752034515,1.65,1
EPL,0.1847008583975439,4.16,0
EPL,0.1482153895679411,5.57,0
EPL,0.6877548376955289,1.3,1
EPL,0.17626597021644,5.98,0
EPL,0.135979192088031,10.56,0
EPL,0.5003684195371668,1.63,0
EPL,0.248970568090871,4.21,1
EPL,0.250661012371962,5.75,0
EPL,0.5169625846239181,2.02,0
EPL,0.2326317274386357,3.68,1
EPL,0.2504056879374462,3.91,0
EPL,0.506225752144805,2.43,1
EPL,0.2469110138499926,3.41,0
EPL,0.2468632340052023,3.15,0
EPL,0.300786227088287,2.47,0
EPL,0.2332677020092866,3.56,1
EPL,0.4659460709024262,2.98,0
EPL,0.090035148349378,10.31,0
EPL,0.1559122060907726,5.61,0
EPL,0.7540526455598493,1.33,1
EPL,0.4842911871016885,2.05,0
EPL,0.2794863257140871,3.6,1
EPL,0.2362224871842244,3.87,0
EPL,0.4443703799207619,1.98,0
EPL,0.2997328822971077,3.43,1
EPL,0.2558967377821303,4.39,0
EPL,0.147056813592612,8.57,0
EPL,0.2079642848191302,5.25,0
EPL,0.6449789015882578,1.39,1
EPL,0.1618920313170777,7.67,0
EPL,0.2168755951909299,5.17,0
EPL,0.6212323734919925,1.43,1
EPL,0.6775302181654391,1.67,1
EPL,0.1838974785516655,4.22,0
EPL,0.1385723032828953,5.34,0
EPL,0.4370712845142171,2.07,1
EPL,0.2602380759848185,3.68,0
EPL,0.3026906395009643,3.75,0
EPL,0.2529222709070723,4.85,1
EPL,0.2672763212148135,3.58,0
EPL,0.479801407878114,1.85,0
EPL,0.4142269541293299,2.4,1
EPL,0.2754307999377345,3.38,0
EPL,0.3103422459329354,3.22,0
EPL,0.3326328767141455,2.48,0
EPL,0.2862524673672833,3.25,1
EPL,0.3811146559185711,3.22,0
EPL,0.129446960804769,8.08,0
EPL,0.2078589473327263,4.72,0
EPL,0.6626940918625047,1.45,1
EPL,0.0497723491844211,14.88,0
EPL,0.101669752853003,7.43,0
EPL,0.8485578979625759,1.21,1
EPL,0.634124449680142,1.98,0
EPL,0.2039679829714712,3.63,1
EPL,0.1619075673483868,4.13,0
EPL,0.6607936673381998,1.59,1
EPL,0.1976703966509029,4.13,0
EPL,0.1415359360108972,6.46,0
EPL,0.7195881761746149,1.43,1
EPL,0.1697501787225927,4.9,0
EPL,0.1106616451027924,8.28,0
EPL,0.3755146428425721,2.38,1
EPL,0.264796598509864,3.49,0
EPL,0.3596887586475638,3.17,0
EPL,0.2735138117516579,3.45,1
EPL,0.2831694895759626,3.65,0
EPL,0.4433166986723794,2.18,0
EPL,0.3915893240358388,2.32,1
EPL,0.2349677622267438,3.33,0
EPL,0.3734429137374173,3.44,0
EPL,0.7985679274438646,1.17,1
EPL,0.1386971524843427,8.21,0
EPL,0.0627349200717925,20.21,0
EPL,0.5807599988812074,1.68,1
EPL,0.2275972322671686,4.01,0
EPL,0.191642768851624,5.61,0
EPL,0.6242196581331896,1.28,1
EPL,0.1973515905278292,6.1,0
EPL,0.1784287513389812,11.9,0
EPL,0.6408489271215144,1.23,1
